83;2;10.26.10;4:53:14;0.00;0.62;56.09;0.25;8.94;0.09;37.47;0.85;0.008;0.39;0.319;3.22;36.3222;0.000;-121.2238;0.002;97.80;0.10;36.3384;0.000;-121.4594;0.002;89.20;0.10;30.8;274.8;68.5;92.5;1.6;-1.1;0.62;_102_013;0;0;2;10.26.10;4:53:14;57.37;0.53;7.97;1.25;35.41;0.83;56.94;0.70;-11.80;1.17;36.36;0.70;6.53;1.06;-11.49;1.07;212.5311;0.0001;0.1728;0.0133;0.522;0.058;1.92;0.90986;0.011;24.89;1.99;137.24;2.13;32.517;0.003;169.75;2.13;_102_013;0;3.17;0;1;212.5311;204.41;-11.80
84;3;10.26.10;5:03:05;0.00;0.59;344.71;0.10;31.77;0.11;17.96;0.07;0.002;0.00;8.498;2.36;37.2786;0.000;-121.0846;0.000;84.20;0.17;37.2872;0.000;-121.0770;0.000;74.10;0.17;59.5;34.9;6.6;77.2;2.6;-0.8;0.69;_014_044;0;0;3;10.26.10;5:03:05;342.65;0.14;31.05;0.41;14.14;0.08;357.96;0.17;35.09;0.40;38.72;0.07;317.83;0.08;12.12;0.15;212.5380;0.0001;0.9139;0.0005;0.322;0.006;3.11;0.70567;0.006;12.55;0.16;216.40;0.09;212.527;0.001;68.93;0.09;_014_044;0;2.74;0;1;212.5380;145.42;35.09
85;4;10.26.10;5:46:03;0.00;0.92;42.07;0.10;11.53;0.10;31.25;0.14;0.313;0.01;2.231;0.04;37.5054;0.000;-120.6497;0.000;99.10;0.03;37.5729;0.000;-120.8428;0.001;80.50;0.06;25.7;293.6;45.6;83.5;0.3;-3.6;0.84;_011_044_014;2;626;4;10.26.10;5:46:03;42.76;0.12;10.53;0.32;28.95;0.16;43.51;0.18;-5.61;0.28;37.86;0.13;352.15;0.20;-4.29;0.21;212.5677;0.0001;0.3644;0.0031;0.396;0.011;2.53;0.85568;0.004;6.60;0.32;111.96;0.44;32.552;0.002;144.51;0.44;_011_044_014;0;2.78;0;1;212.5677;190.94;-5.61
86;5;10.26.10;6:20:43;0.00;1.10;96.16;0.09;16.04;0.03;68.47;0.14;0.000;0.01;0.770;0.06;36.9021;0.000;-120.0223;0.001;117.30;0.10;36.7745;0.000;-120.8247;0.000;101.60;0.03;40.2;258.6;78.3;106.6;0.0;-3.6;0.68;_103_014;8;8;5;10.26.10;6:20:43;96.66;0.10;15.78;0.09;67.20;0.14;96.47;0.10;-7.51;0.09;43.09;0.14;77.67;0.15;-11.76;0.15;212.5917;0.0001;0.5289;0.0029;-0.082;0.014;999.00;1.04337;0.007;163.62;0.21;85.22;0.46;32.580;0.001;117.80;0.46;_103_014;0;-1.30;0;1;212.5917;243.88;-7.51
87;6;10.26.10;7:29:59;0.00;0.18;6.38;0.27;23.09;0.52;16.70;0.14;0.004;0.02;0.109;0.08;36.9045;0.000;-121.7970;0.000;76.80;0.01;36.9102;0.000;-121.7868;0.000;73.90;0.03;46.4;54.9;21.3;75.5;3.4;1.6;0.45;_061_012;0;0;6;10.26.10;7:29:59;2.54;0.45;20.71;1.20;12.61;0.18;10.82;0.37;17.94;1.22;36.51;0.14;321.26;0.23;6.10;0.42;212.6397;0.0001;0.8528;0.0021;0.509;0.011;1.96;0.56578;0.010;6.44;0.44;232.67;0.39;212.628;0.003;85.30;0.39;_061_012;0;3.66;0;1;212.6397;158.18;17.94
88;7;10.26.10;7:44:47;0.00;0.62;24.99;0.17;20.03;0.16;27.58;0.18;0.322;0.01;2.178;0.08;37.2292;0.000;-120.6719;0.000;94.80;0.05;37.2713;0.000;-120.6569;0.000;79.40;0.05;39.0;15.9;17.8;84.6;2.0;-1.4;0.66;_014_044;0;0;7;10.26.10;7:44:47;23.94;0.21;19.25;0.48;25.28;0.18;29.22;0.17;8.63;0.49;40.60;0.13;341.58;0.21;5.36;0.31;212.6499;0.0001;0.5848;0.0027;0.154;0.011;6.51;0.91010;0.007;6.88;0.40;262.19;0.30;212.638;0.003;114.83;0.30;_014_044;0;1.72;0;1;212.6499;176.57;8.63
89;8;10.26.10;7:55:58;0.00;0.79;351.47;0.08;21.20;0.05;15.89;0.02;0.001;0.01;0.038;0.07;37.1270;0.000;-121.2362;0.000;88.50;0.01;37.1424;0.000;-121.1507;0.000;78.70;0.02;45.7;77.4;38.8;81.5;1.5;-2.0;0.71;_104_014;0;0;8;10.26.10;7:55:58;344.61;0.15;17.18;0.21;11.69;0.03;352.88;0.10;21.83;0.23;38.17;0.03;316.06;0.05;6.54;0.07;212.6577;0.0001;0.9273;0.0004;0.370;0.002;2.71;0.65732;0.002;6.72;0.07;213.86;0.09;212.645;0.000;66.50;0.09;_104_014;0;3.00;0;1;212.6577;140.22;21.83
90;9;10.26.10;8:06:07;0.00;0.25;43.20;0.14;13.79;0.15;31.66;0.15;0.026;0.02;0.131;0.07;36.9825;0.000;-121.5210;0.000;89.50;0.02;37.0106;0.000;-121.5342;0.000;82.10;0.02;68.6;339.4;24.5;87.8;1.1;-1.0;0.22;_012_041;2;626;9;10.26.10;8:06:07;42.73;0.16;13.04;0.32;29.59;0.18;44.21;0.14;-3.21;0.32;38.01;0.11;353.40;0.23;-2.50;0.25;212.6647;0.0001;0.3461;0.0029;0.383;0.010;2.61;0.86734;0.004;3.94;0.39;113.79;0.32;32.654;0.005;146.45;0.32;_012_041;0;2.70;0;1;212.6647;191.55;-3.21
91;10;10.26.10;8:09:18;0.00;0.35;127.19;0.14;34.66;0.56;68.02;0.49;0.002;0.03;0.171;0.13;37.9775;0.001;-121.2742;0.000;100.10;0.04;37.8796;0.002;-121.4938;0.001;92.20;0.13;38.3;240.5;70.8;95.2;-0.3;-3.0;0.62;_011_031;0;0;10;10.26.10;8:09:18;127.77;0.29;34.54;0.23;66.79;0.49;121.51;0.21;15.14;0.27;38.71;0.47;119.76;0.38;26.78;0.49;212.6669;0.0001;0.9917;0.0007;0.322;0.042;3.10;0.68041;0.041;153.19;0.49;186.40;0.90;212.655;0.002;39.05;0.90;_011_031;0;0.66;0;1;212.6669;268.84;15.14
92;11;10.26.10;8:12:08;0.00;0.19;98.97;0.25;16.11;0.61;67.92;5.49;0.085;0.61;1.485;1.72;37.6905;0.001;-120.9387;0.003;111.60;0.28;37.6964;0.001;-121.0567;0.002;105.10;0.19;20.5;273.5;58.5;107.0;3.0;1.3;0.72;_031_011;8;8;11;10.26.10;8:12:08;99.19;0.24;15.94;0.70;66.69;5.91;98.90;0.22;-7.21;0.70;41.74;5.62;81.13;2.70;-11.57;1.14;212.6689;0.0001;0.5688;0.1136;0.048;0.530;20.77;0.97262;0.300;164.71;1.74;82.40;20.93;32.657;0.009;115.06;20.93;_031_011;0;-0.65;0;1;212.6689;246.23;-7.21
